"ID","Text","Language","Type","Author Name","Author Username","View Count","Reply Count","Retweet Count","Quote Count","Favorite Count","Bookmark Count","Created At","Tweet URL","Source","Hashtags","URLs","Media Type","Media URLs"
"2035040788997185885","Until the first match playing 11, I ain't gonna believe Yash Dayal is out of the team man. Just hope he won't join the team, and if the reports are true, they should have thrown him out when the news came out.","en","Tweet","Sai","akakrcb6","16677","13","18","2","482","7","2026-03-20 22:38:27","https://x.com/akakrcb6/status/2035040788997185885","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","","","",""
"2034914840528265580","DK is right here lol picking backup batter for top 5 is so important. Last season we only had one backup batter that is Swastik who is an opener. Good thing that they have now addressed  now we have Vihaan and Venkatesh Iyer.","en","Tweet","Sai","akakrcb6","18621","5","17","0","500","24","2026-03-20 14:17:59","https://x.com/akakrcb6/status/2034914840528265580","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","","","",""
"2034837354444464526","𝗥𝗖𝗕’𝘀 𝗔𝘂𝗰𝘁𝗶𝗼𝗻 𝗣𝗹𝗮𝗻𝗻𝗶𝗻𝗴 𝗩𝗶𝗱𝗲𝗼𝘀: 𝘌𝘱𝘪𝘴𝘰𝘥𝘦 1

Getting our priorities in order: Settled squad, not the biggest of purses relatively, and a couple of availability issues. How did the Think Tank plan ahead of time, to nail our auction strategy? Here’s a ticket to our auction engine room, on @bigbasket_com presents RCB Bold Diaries.

#PlayBold #ನಮ್ಮRCB #IPL2026","en","Quoted","Royal Challengers Bengaluru","RCBTweets","205736","25","288","61","2577","303","2026-03-20 09:10:05","https://x.com/RCBTweets/status/2034837354444464526","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","#PlayBold, #ನಮ್ಮRCB, #IPL2026","","video","https://video.twimg.com/amplify_video/2034836804554432518/vid/avc1/1920x1080/91RvZ23WBvMvGyXj.mp4?tag=21"
"2034524739360960561","This time, it looks like they got editors from Hombale Films, all edits are hits, no misses, and every edit is so class.","en","Tweet","Sai","akakrcb6","19165","5","69","0","1422","20","2026-03-19 12:27:52","https://x.com/akakrcb6/status/2034524739360960561","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","","","",""
"2034472431201718683","Time passed.
Seasons changed.

But this city? Still his. ❤️
This throne? Still his. 👑

And our love for the 𝗢𝗻𝗹𝘆 𝗧𝗿𝘂𝗲 𝗞𝗶𝗻𝗴, only grows stronger by the day. 🥹

Our Virat Kohli returns to where he belongs, his home, Bengaluru, for a new story. ❤️‍🔥

So, 12th Man Army! We ready for No. 1️⃣8️⃣’s Season 1️⃣9️⃣? 🥶

#PlayBold #ನಮ್ಮRCB #IPL2026","en","Quoted","Royal Challengers Bengaluru","RCBTweets","407258","411","4226","389","15741","517","2026-03-19 09:00:00","https://x.com/RCBTweets/status/2034472431201718683","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","#PlayBold, #ನಮ್ಮRCB, #IPL2026","","video","https://video.twimg.com/amplify_video/2034364164974727168/vid/avc1/1920x1080/5XSI4x84dqX531DR.mp4?tag=21"
"2034237550458782067","That Bhuvi edit from RCB , whoever did respect man simple one they have cooked , watched thrice already and Bhuvneshwar Kumar deserve all the hype.","en","Tweet","Sai","akakrcb6","20969","5","136","0","2174","26","2026-03-18 17:26:40","https://x.com/akakrcb6/status/2034237550458782067","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","","","",""
"2034199684093481231","Suddenly I thought Riyan Parag had joined RCB, but it is RR's new jersey 😭😭 https://t.co/OFNHkrDW0p","en","Tweet","Sai","akakrcb6","44926","13","46","5","1540","28","2026-03-18 14:56:12","https://x.com/akakrcb6/status/2034199684093481231","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","","","photo","https://pbs.twimg.com/media/HDrt1OGbYAA9VtW.jpg"
"2033956927248732548","Ignore this edit, but remember this guy's name. This guy is so good, he might even be the best LSG bowler and lead their pace attack. Prince Yadav will cook in IPL.","en","Tweet","Sai","akakrcb6","19530","7","12","0","385","9","2026-03-17 22:51:35","https://x.com/akakrcb6/status/2033956927248732548","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","","","",""
"2033818732179689652","Yorker King ke arrival pe ek selfie toh banti hai ❤️💙 https://t.co/AjUPpnE7Ht","in","Quoted","Lucknow Super Giants","LucknowIPL","225566","97","18","79","653","31","2026-03-17 13:42:26","https://x.com/LucknowIPL/status/2033818732179689652","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","","","video","https://video.twimg.com/ext_tw_video/2033818683072761856/pu/vid/avc1/720x1280/cIdbzxsAsSNUHf0U.mp4?tag=19"
"2033928767417290867","Looks like they are making videos for every player of the team awesome .","en","Tweet","Sai","akakrcb6","9343","4","29","0","614","10","2026-03-17 20:59:41","https://x.com/akakrcb6/status/2033928767417290867","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","","","",""
