"ID","Text","Language","Type","Author Name","Author Username","View Count","Reply Count","Retweet Count","Quote Count","Favorite Count","Bookmark Count","Created At","Tweet URL","Source","Hashtags","URLs","Media Type","Media URLs"
"2027064468690121195","Arshdeep Singh is King","en","Tweet","Prasanna","prasannalara","17022","13","12","0","702","4","2026-02-26 22:23:25","https://x.com/prasannalara/status/2027064468690121195","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","",""
"2027062065681014872","Will be really pleased if Bennett can get a 100 here.","en","Tweet","Prasanna","prasannalara","22363","28","33","0","955","3","2026-02-26 22:13:52","https://x.com/prasannalara/status/2027062065681014872","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","",""
"2027056604781113771","Such a top class player - Brian Bennett","en","Tweet","Prasanna","prasannalara","28979","23","73","1","1987","7","2026-02-26 21:52:10","https://x.com/prasannalara/status/2027056604781113771","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","",""
"2027051529274814721","Axar Patel missed out last game due to left handers match up. Back today and gets a left hander out in his second ball.","en","Tweet","Prasanna","prasannalara","31412","13","61","2","2023","6","2026-02-26 21:32:00","https://x.com/prasannalara/status/2027051529274814721","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","",""
"2027038905086644433","Tilak Varma got gears. He can take on the bowling with his power hitting skills. Hopefully the doubts over his hitting abilities will calm down a bit now.","en","Tweet","Prasanna","prasannalara","45252","27","148","7","2926","15","2026-02-26 20:41:50","https://x.com/prasannalara/status/2027038905086644433","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","",""
"2027033361693188544","Still not at his clinical best but these runs will give him the much needed confidence going forward.","en","Tweet","Prasanna","prasannalara","36001","15","57","2","1454","10","2026-02-26 20:19:48","https://x.com/prasannalara/status/2027033361693188544","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","",""
"2027026435865743560","Abhi-shaking things up once again. #T20WorldCup https://t.co/gwgI8K9KCd","en","Quoted","Ashwin 🇮🇳","ashwinravi99","158997","153","550","8","16018","49","2026-02-26 19:52:17","https://x.com/ashwinravi99/status/2027026435865743560","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","#T20WorldCup","","photo","https://pbs.twimg.com/media/HCFxzAMasAAynOR.jpg"
"2027030272663748774","Ji yes. According to ICC rules Indian bowlers cannot bowl to their own batters. They only have to bowl to ZIM batters 🙏","en","Tweet","Prasanna","prasannalara","74758","28","51","5","1125","17","2026-02-26 20:07:32","https://x.com/prasannalara/status/2027030272663748774","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","",""
"2027029560097964327","@prasannalara But they will bowl against Zimbabwe Batters...","en","Quoted","Subhan Abbasi","abbasi_subhan10","82332","1","0","1","8","1","2026-02-26 20:04:42","https://x.com/abbasi_subhan10/status/2027029560097964327","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","","","",""
"2027029343482855648","For many thinking this is a batting paradise , wait when Indian spinners bowl in the second innings.","en","Tweet","Prasanna","prasannalara","109994","54","62","28","1802","12","2026-02-26 20:03:50","https://x.com/prasannalara/status/2027029343482855648","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","",""
"2027028986371375440","Coach NRR is no more a factor now. Thanks.","en","Tweet","Prasanna","prasannalara","64619","23","21","2","847","11","2026-02-26 20:02:25","https://x.com/prasannalara/status/2027028986371375440","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","",""
"2027021117026660737","India bringing fire to this game... Im sure the plan is to get rid of all this net run rate talk by the time this game is done https://t.co/kfRFcMB3fs","en","Quoted","Tabraiz Shamsi","shamsi90","81307","9","7","2","440","7","2026-02-26 19:31:09","https://x.com/shamsi90/status/2027021117026660737","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","","","photo","https://pbs.twimg.com/media/HCFs9AmXcAEELD6.jpg"
"2027026476390830505","The beast Abhishek Sharma have woken up at the right time. All he needed is some runs to get his confidence back.","en","Tweet","Prasanna","prasannalara","27656","27","128","0","2565","8","2026-02-26 19:52:26","https://x.com/prasannalara/status/2027026476390830505","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","",""
"2027008032069091831","Hopefully the openers are right too","en","Tweet","Prasanna","prasannalara","45546","26","33","2","805","1","2026-02-26 18:39:09","https://x.com/prasannalara/status/2027008032069091831","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","",""
"2026308302846488800","India playing XI for the next game 

1 Abhishek Sharma 
2 Sanju Samson 
3 Ishan Kishan 
4 SKY 
5 Tilak 
6 Pandya 
7 Dube 
8 Axar 
9 Arshdeep 
10 Bumrah 
11 Varun","en","Quoted","Prasanna","prasannalara","287538","287","307","28","5847","99","2026-02-24 20:18:41","https://x.com/prasannalara/status/2026308302846488800","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","",""
"2027001926592651476","SA in Ahmedabad 
Defended 187 and win by 76 runs 
Chased 177 and won by 9 wickets with 23 balls to spare.
Proteas will be the only team getting to semi finals unbeaten. Clinical.","en","Tweet","Prasanna","prasannalara","42795","37","123","4","2616","21","2026-02-26 18:14:53","https://x.com/prasannalara/status/2027001926592651476","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","",""
"2027000020734460274","SA 163/1 after 15 overs. 52 ahead and game expected to be over in another 6 to 8 balls.","en","Tweet","Prasanna","prasannalara","17035","4","9","1","193","1","2026-02-26 18:07:19","https://x.com/prasannalara/status/2027000020734460274","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","",""
"2026993746844246330","SA 109/1 after 10 overs. 29 ahead and they need to be 125/3 after 15 overs to stay ahead if this chase.","en","Quoted","Prasanna","prasannalara","28510","15","11","1","181","1","2026-02-26 17:42:23","https://x.com/prasannalara/status/2026993746844246330","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","",""
"2026999698167312895","Quinton De Kock 
Rickelton 
Sherfane Rutherford 
Will Jacks 
Santner 
Boult 
Corbin Bosch 
Ghazanfar 

Man how can you chose 4 of these.
@mipaltan have a serious , serious problems ahead of them.","en","Tweet","Prasanna","prasannalara","161225","104","263","45","5300","122","2026-02-26 18:06:02","https://x.com/prasannalara/status/2026999698167312895","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","",""
