"ID","Text","Language","Type","Author Name","Author Username","View Count","Reply Count","Retweet Count","Quote Count","Favorite Count","Bookmark Count","Created At","Tweet URL","Source","Hashtags","URLs","Media Type","Media URLs"
"2026215014865293476","🚨 LUCKNOW SUPERGIANTS NEW LOGO. 🚨 https://t.co/48eG8UlFSv","en","Quoted","Mufaddal Vohra","mufaddal_vohra","2127197","743","692","555","16356","352","2026-02-24 14:07:59","https://x.com/mufaddal_vohra/status/2026215014865293476","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","photo","https://pbs.twimg.com/media/HB6P0ILawAA20ea.jpg"
"2026201625379930437","Posts and questions like this are just goonga.

South Africa just beat India by 76 runs, why would they purposely lose against West Indies just to avoid India in the knockouts?

Ignoring the fact they are a professional team and they want momentum, at this point I’d back SA to repeat the same result against India again. 

#T20WorldCup","en","Tweet","Erika Morris","ErikaMorris79","42297","52","14","3","291","15","2026-02-24 13:14:47","https://x.com/ErikaMorris79/status/2026201625379930437","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","#T20WorldCup","","",""
"2026168246177820769","What if south africa loses deliberately against west-indies🤔.

- In that scenario, does India have any chance of qualifying? https://t.co/khxzxIQf65","en","Quoted","Bemba Tavuma 🐐","gaandfaadtits","309520","596","26","26","1354","44","2026-02-24 11:02:08","https://x.com/gaandfaadtits/status/2026168246177820769","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","","","photo","https://pbs.twimg.com/media/HB5lRrdagAAOVES.jpg"
"2025986117380546851","Well well well.

People usually take the piss out of us RCB for being calculator merchants in the IPL

After #WIvZIM and #INDvSA in #T20WorldCup2026 the Net run rates in group 1 look like this

🏝️+5.350
🇿🇦 +3.8
🇮🇳 -3.8
🇿🇼 - 5.350

All #ICT fans right now, welcome to the calculator club😂

Indian could win both games and still not go through. Wow.","en","Tweet","Erika Morris","ErikaMorris79","7223","25","9","1","119","6","2026-02-23 22:58:26","https://x.com/ErikaMorris79/status/2025986117380546851","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","#WIvZIM, #INDvSA, #T20WorldCup2026, #ICT","","animated_gif","https://video.twimg.com/tweet_video/HB2_ogNXcAAS21V.mp4"
"2025948561112703336","If RR don’t play Hetmyer at 3 for this years IPL then they need to dissolve the franchise.

His career T20 stats
Average 28.6
SR 146.8

At 3
Average 54.75
SR 185.59

Some players thrive when they are trusted higher up the order , Hetty seems to be one of those 

 #WIvsZim #T20WorldCup","en","Tweet","Erika Morris","ErikaMorris79","13375","16","16","3","295","5","2026-02-23 20:29:11","https://x.com/ErikaMorris79/status/2025948561112703336","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","#WIvsZim, #T20WorldCup","","",""
"2025939501902667814","Every year I get surprised there is a T20 tournament in India where a team called ‘Income Tax’ play. And IPL players play regular in it

I then forget for another 12 months until I see it again.

What is the history behind such a team name and the DY Patil trophy?","en","Tweet","Erika Morris","ErikaMorris79","56678","16","13","0","531","48","2026-02-23 19:53:12","https://x.com/ErikaMorris79/status/2025939501902667814","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","",""
"2025843975764983889","Just when you think it couldnt get any worse..

This is quite frankly the worst taste advert I have ever seen. To mock serious car accidents when people have lost loved ones like this is abhorrent.

I hope people in India boycott Hotstar over this. https://t.co/raNuK452Sd","en","Tweet","Erika Morris","ErikaMorris79","58594","56","29","3","474","36","2026-02-23 13:33:36","https://x.com/ErikaMorris79/status/2025843975764983889","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","https://x.com/jiohotstar/status/2025644567446630813","",""
"2025841040951857645","The 2022 #T20WorldCup  gave us the PAK bean derby between Pakistan and Zimbabwe. #T20WorldCup2026 has given us the  ‘Cup cake’ derby
Cricket is the gift that keeps on giving https://t.co/Zh6q6PmQEJ","en","Tweet","Erika Morris","ErikaMorris79","13443","5","9","3","158","7","2026-02-23 13:21:57","https://x.com/ErikaMorris79/status/2025841040951857645","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","#T20WorldCup, #T20WorldCup2026","","photo","https://pbs.twimg.com/media/HB07sEEXoAEoXMT.jpg"
"2025630867297595737","Allow me to pose a question.

You have 2 choses as the national team coach of India for  the finisher role in #T20WorldCup #INDvSA 

This is their IPL25 stats
Player A 
Innings 11
Runs 261
High Score 85
Average 37.29
Strike Rate 176.35

Player B 
Innings 11
Runs 206
High Score 38
Average 29.43
Strike Rate 153.73

Both have played for India in T20’s. Who are you picking?","en","Tweet","Erika Morris","ErikaMorris79","25112","49","5","5","122","7","2026-02-22 23:26:47","https://x.com/ErikaMorris79/status/2025630867297595737","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","#T20WorldCup, #INDvSA","","",""
"2025595445997687000","Indian openers announce their new car brand partnership

#T20WorldCup #INDvSA https://t.co/lQeS8SzYwb","en","Tweet","Erika Morris","ErikaMorris79","26066","41","44","12","1034","13","2026-02-22 21:06:02","https://x.com/ErikaMorris79/status/2025595445997687000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","#T20WorldCup, #INDvSA","","photo","https://pbs.twimg.com/media/HBxcUm0WwAA29Fa.jpg"
