version,1.6.0
info,balls_per_over,6
info,team,Rwanda
info,team,Tanzania
info,gender,female
info,season,2019
info,date,2019/05/11
info,event,ICC Women's T20 World Cup Africa Region Qualifier
info,venue,Takashinga Sports Club
info,city,Harare
info,toss_winner,Tanzania
info,toss_decision,bat
info,player_of_match,FO Kibasu
info,umpire,IO Oyieko
info,umpire,Justine Muzungu
info,reserve_umpire,A Louw
info,match_referee,O Chirombe
info,winner,Tanzania
info,winner_runs,38
info,player,Tanzania,FO Kibasu
info,player,Tanzania,M Pascal
info,player,Tanzania,HM Omary
info,player,Tanzania,PZ Kamunya
info,player,Tanzania,TS Omary
info,player,Tanzania,NJ Pius
info,player,Tanzania,NN Saidi
info,player,Tanzania,GL Mushi
info,player,Tanzania,S Mtae
info,player,Tanzania,SH Mohamedi
info,player,Tanzania,NO Tindo
info,player,Rwanda,MD Bimenyimana
info,player,Rwanda,V Iriho
info,player,Rwanda,DI Dusabemungu
info,player,Rwanda,G Ishimwe
info,player,Rwanda,H Ishimwe
info,player,Rwanda,S Uwera
info,player,Rwanda,A Ikuzwe
info,player,Rwanda,A Uwimbabazi
info,player,Rwanda,J Nyirankundineza
info,player,Rwanda,D Mukarurangwa
info,player,Rwanda,M Vumiliya
info,registry,people,A Ikuzwe,6762a445
info,registry,people,A Louw,5eecae5d
info,registry,people,A Uwimbabazi,ef27e290
info,registry,people,D Mukarurangwa,c52de9d9
info,registry,people,DI Dusabemungu,90e03594
info,registry,people,FO Kibasu,1c726c76
info,registry,people,G Ishimwe,b5ae57ee
info,registry,people,GL Mushi,fae59566
info,registry,people,H Ishimwe,ffa296f7
info,registry,people,HM Omary,2cbe5db1
info,registry,people,IO Oyieko,de4828fa
info,registry,people,J Nyirankundineza,7e7d2fe5
info,registry,people,Justine Muzungu,b90044b7
info,registry,people,M Pascal,729c5ab5
info,registry,people,M Vumiliya,0c00286e
info,registry,people,MD Bimenyimana,c1a0cebe
info,registry,people,NJ Pius,f4270fc7
info,registry,people,NN Saidi,16610c7b
info,registry,people,NO Tindo,7f8316e3
info,registry,people,O Chirombe,6345307f
info,registry,people,PZ Kamunya,6e60bbe2
info,registry,people,S Mtae,bb641155
info,registry,people,S Uwera,1ef174b8
info,registry,people,SH Mohamedi,10ab6a37
info,registry,people,TS Omary,88e90658
info,registry,people,V Iriho,2853eafb
ball,1,0.1,Tanzania,FO Kibasu,M Pascal,MD Bimenyimana,0,0,,,,,,"",""
ball,1,0.2,Tanzania,FO Kibasu,M Pascal,MD Bimenyimana,2,0,,,,,,"",""
ball,1,0.3,Tanzania,FO Kibasu,M Pascal,MD Bimenyimana,0,0,,,,,,"",""
ball,1,0.4,Tanzania,FO Kibasu,M Pascal,MD Bimenyimana,0,0,,,,,,"",""
ball,1,0.5,Tanzania,FO Kibasu,M Pascal,MD Bimenyimana,0,0,,,,,,"",""
ball,1,0.6,Tanzania,FO Kibasu,M Pascal,MD Bimenyimana,1,0,,,,,,"",""
ball,1,1.1,Tanzania,FO Kibasu,M Pascal,M Vumiliya,1,0,,,,,,"",""
ball,1,1.2,Tanzania,M Pascal,FO Kibasu,M Vumiliya,4,0,,,,,,"",""
ball,1,1.3,Tanzania,M Pascal,FO Kibasu,M Vumiliya,1,0,,,,,,"",""
ball,1,1.4,Tanzania,FO Kibasu,M Pascal,M Vumiliya,4,0,,,,,,"",""
ball,1,1.5,Tanzania,FO Kibasu,M Pascal,M Vumiliya,0,0,,,,,,"",""
ball,1,1.6,Tanzania,FO Kibasu,M Pascal,M Vumiliya,0,0,,,,,,"",""
ball,1,2.1,Tanzania,M Pascal,FO Kibasu,MD Bimenyimana,0,0,,,,,,"",""
ball,1,2.2,Tanzania,M Pascal,FO Kibasu,MD Bimenyimana,0,0,,,,,,bowled,M Pascal
ball,1,2.3,Tanzania,HM Omary,FO Kibasu,MD Bimenyimana,0,0,,,,,,"",""
ball,1,2.4,Tanzania,HM Omary,FO Kibasu,MD Bimenyimana,0,0,,,,,,"",""
ball,1,2.5,Tanzania,HM Omary,FO Kibasu,MD Bimenyimana,1,0,,,,,,"",""
ball,1,2.6,Tanzania,FO Kibasu,HM Omary,MD Bimenyimana,0,0,,,,,,"",""
ball,1,3.1,Tanzania,HM Omary,FO Kibasu,G Ishimwe,0,0,,,,,,"",""
ball,1,3.2,Tanzania,HM Omary,FO Kibasu,G Ishimwe,0,1,1,,,,,"",""
ball,1,3.3,Tanzania,HM Omary,FO Kibasu,G Ishimwe,0,5,5,,,,,"",""
ball,1,3.4,Tanzania,HM Omary,FO Kibasu,G Ishimwe,0,0,,,,,,"",""
ball,1,3.5,Tanzania,HM Omary,FO Kibasu,G Ishimwe,1,0,,,,,,"",""
ball,1,3.6,Tanzania,FO Kibasu,HM Omary,G Ishimwe,1,0,,,,,,"",""
ball,1,3.7,Tanzania,HM Omary,FO Kibasu,G Ishimwe,0,0,,,,,,"",""
ball,1,3.8,Tanzania,HM Omary,FO Kibasu,G Ishimwe,0,0,,,,,,"",""
ball,1,4.1,Tanzania,FO Kibasu,HM Omary,MD Bimenyimana,0,0,,,,,,"",""
ball,1,4.2,Tanzania,FO Kibasu,HM Omary,MD Bimenyimana,0,0,,,,,,"",""
ball,1,4.3,Tanzania,FO Kibasu,HM Omary,MD Bimenyimana,0,0,,,,,,"",""
ball,1,4.4,Tanzania,FO Kibasu,HM Omary,MD Bimenyimana,1,0,,,,,,"",""
ball,1,4.5,Tanzania,HM Omary,FO Kibasu,MD Bimenyimana,0,0,,,,,,"",""
