version,1.7.0
info,balls_per_over,6
info,team,Namibia
info,team,Zimbabwe
info,gender,male
info,season,2022
info,date,2022/05/24
info,event,Namibia tour of Zimbabwe
info,match_number,5
info,venue,"Queens Sports Club, Bulawayo"
info,city,Bulawayo
info,toss_winner,Zimbabwe
info,toss_decision,field
info,player_of_match,CG Williams
info,umpire,I Chabi
info,umpire,L Rusere
info,reserve_umpire,F Mutizwa
info,tv_umpire,C Phiri
info,match_referee,AJ Pycroft
info,winner,Namibia
info,winner_runs,32
info,player,Namibia,CG Williams
info,player,Namibia,M van Lingen
info,player,Namibia,JN Loftie-Eaton
info,player,Namibia,MG Erasmus
info,player,Namibia,ZE Green
info,player,Namibia,D Wiese
info,player,Namibia,JN Frylinck
info,player,Namibia,R Trumpelmann
info,player,Namibia,HN Ya France
info,player,Namibia,BM Scholtz
info,player,Namibia,B Shikongo
info,player,Zimbabwe,W Madhevere
info,player,Zimbabwe,I Kaia
info,player,Zimbabwe,RW Chakabva
info,player,Zimbabwe,Sikandar Raza
info,player,Zimbabwe,T Munyonga
info,player,Zimbabwe,R Mutumbami
info,player,Zimbabwe,DT Tiripano
info,player,Zimbabwe,LM Jongwe
info,player,Zimbabwe,B Evans
info,player,Zimbabwe,B Mavuta
info,player,Zimbabwe,TL Chatara
info,registry,people,AJ Pycroft,685d3f80
info,registry,people,B Evans,e7e86505
info,registry,people,B Mavuta,dadb9703
info,registry,people,B Shikongo,c26cd57a
info,registry,people,BM Scholtz,e85d03d6
info,registry,people,C Phiri,ade73404
info,registry,people,CG Williams,e16e7347
info,registry,people,D Wiese,aa8d28ae
info,registry,people,DT Tiripano,dbfb8218
info,registry,people,F Mutizwa,d3e83eef
info,registry,people,HN Ya France,915264c2
info,registry,people,I Chabi,5e39110e
info,registry,people,I Kaia,5ad8c974
info,registry,people,JN Frylinck,3c87f0c3
info,registry,people,JN Loftie-Eaton,f468293b
info,registry,people,L Rusere,6a4734ae
info,registry,people,LM Jongwe,b8704508
info,registry,people,M van Lingen,7eb36269
info,registry,people,MG Erasmus,95a5e066
info,registry,people,R Mutumbami,5fef85ee
info,registry,people,R Trumpelmann,ff6a7ab5
info,registry,people,RW Chakabva,2f0d7e4a
info,registry,people,Sikandar Raza,26d041c4
info,registry,people,T Munyonga,fbcfa528
info,registry,people,TL Chatara,5bbabe59
info,registry,people,W Madhevere,a879b92c
info,registry,people,ZE Green,8716233e
ball,1,0.1,Namibia,CG Williams,M van Lingen,TL Chatara,0,0,,,,,,"",""
ball,1,0.2,Namibia,CG Williams,M van Lingen,TL Chatara,4,0,,,,,,"",""
ball,1,0.3,Namibia,CG Williams,M van Lingen,TL Chatara,0,0,,,,,,"",""
ball,1,0.4,Namibia,CG Williams,M van Lingen,TL Chatara,4,0,,,,,,"",""
ball,1,0.5,Namibia,CG Williams,M van Lingen,TL Chatara,4,0,,,,,,"",""
ball,1,0.6,Namibia,CG Williams,M van Lingen,TL Chatara,0,0,,,,,,"",""
ball,1,1.1,Namibia,M van Lingen,CG Williams,DT Tiripano,2,0,,,,,,"",""
ball,1,1.2,Namibia,M van Lingen,CG Williams,DT Tiripano,0,0,,,,,,"",""
ball,1,1.3,Namibia,M van Lingen,CG Williams,DT Tiripano,1,0,,,,,,"",""
ball,1,1.4,Namibia,CG Williams,M van Lingen,DT Tiripano,1,0,,,,,,"",""
ball,1,1.5,Namibia,M van Lingen,CG Williams,DT Tiripano,1,0,,,,,,"",""
ball,1,1.6,Namibia,CG Williams,M van Lingen,DT Tiripano,1,0,,,,,,"",""
ball,1,2.1,Namibia,CG Williams,M van Lingen,B Evans,0,0,,,,,,"",""
ball,1,2.2,Namibia,CG Williams,M van Lingen,B Evans,4,0,,,,,,"",""
ball,1,2.3,Namibia,CG Williams,M van Lingen,B Evans,0,1,,,,1,,"",""
ball,1,2.4,Namibia,M van Lingen,CG Williams,B Evans,4,0,,,,,,"",""
ball,1,2.5,Namibia,M van Lingen,CG Williams,B Evans,4,0,,,,,,"",""
ball,1,2.6,Namibia,M van Lingen,CG Williams,B Evans,0,0,,,,,,caught,M van Lingen
ball,1,3.1,Namibia,CG Williams,JN Loftie-Eaton,DT Tiripano,1,0,,,,,,"",""
ball,1,3.2,Namibia,JN Loftie-Eaton,CG Williams,DT Tiripano,4,0,,,,,,"",""
ball,1,3.3,Namibia,JN Loftie-Eaton,CG Williams,DT Tiripano,2,0,,,,,,"",""
ball,1,3.4,Namibia,JN Loftie-Eaton,CG Williams,DT Tiripano,1,0,,,,,,"",""
ball,1,3.5,Namibia,CG Williams,JN Loftie-Eaton,DT Tiripano,1,0,,,,,,"",""
ball,1,3.6,Namibia,JN Loftie-Eaton,CG Williams,DT Tiripano,0,0,,,,,,"",""
ball,1,4.1,Namibia,CG Williams,JN Loftie-Eaton,TL Chatara,1,0,,,,,,"",""
