version,1.7.0
info,balls_per_over,6
info,team,Saudi Arabia
info,team,Malaysia
info,gender,male
info,season,2025
info,date,2025/04/26
info,event,Quadrangular Twenty20 Series (Malaysia)
info,match_number,5
info,venue,"Bayuemas Oval, Kuala Lumpur"
info,city,Kuala Lumpur
info,toss_winner,Saudi Arabia
info,toss_decision,bat
info,player_of_match,Virandeep Singh
info,umpire,L Poobalan
info,umpire,V Kalidas
info,reserve_umpire,Mathan Kumar
info,match_referee,Edwin Seah
info,winner,Malaysia
info,winner_wickets,5
info,player,Saudi Arabia,Abdul Waheed
info,player,Saudi Arabia,Faisal Khan
info,player,Saudi Arabia,Waji Ul Hassan
info,player,Saudi Arabia,Manan Ali
info,player,Saudi Arabia,Syed Faizan Tahir
info,player,Saudi Arabia,Usman Najeeb
info,player,Saudi Arabia,Zain Ul Abidin
info,player,Saudi Arabia,Hisham Sheikh
info,player,Saudi Arabia,Usman Khalid
info,player,Saudi Arabia,Ishtiaq Ahmad
info,player,Saudi Arabia,Ghayour Ahmad
info,player,Malaysia,Syed Aziz
info,player,Malaysia,Aslam Khan
info,player,Malaysia,Virandeep Singh
info,player,Malaysia,Ahmed Faiz
info,player,Malaysia,Ahmed Aqeel
info,player,Malaysia,S Muniandy
info,player,Malaysia,S Vijay Unni
info,player,Malaysia,Amir Khan
info,player,Malaysia,Ainool Hafizs
info,player,Malaysia,Pavandeep Singh
info,player,Malaysia,Rizwan Haider
info,registry,people,Abdul Waheed,23fa9ea9
info,registry,people,Ahmed Aqeel,92f0e10e
info,registry,people,Ahmed Faiz,f6b4f746
info,registry,people,Ainool Hafizs,1bada9da
info,registry,people,Amir Khan,a7bc0f3d
info,registry,people,Aslam Khan,31080a88
info,registry,people,Edwin Seah,be24f868
info,registry,people,Faisal Khan,a7553f15
info,registry,people,Ghayour Ahmad,f87f5e5f
info,registry,people,Hisham Sheikh,c4441675
info,registry,people,Ishtiaq Ahmad,056b433b
info,registry,people,L Poobalan,93cc9718
info,registry,people,Manan Ali,d0b643e1
info,registry,people,Mathan Kumar,da596754
info,registry,people,Pavandeep Singh,78fcc740
info,registry,people,Rizwan Haider,dc60abdc
info,registry,people,S Muniandy,57fcfd3b
info,registry,people,S Vijay Unni,f737ab44
info,registry,people,Syed Aziz,6667067e
info,registry,people,Syed Faizan Tahir,123ab754
info,registry,people,Usman Khalid,314f0889
info,registry,people,Usman Najeeb,615688b6
info,registry,people,V Kalidas,42d76418
info,registry,people,Virandeep Singh,415d30b6
info,registry,people,Waji Ul Hassan,6892f9c3
info,registry,people,Zain Ul Abidin,b93b87ae
ball,1,0.1,Saudi Arabia,Abdul Waheed,Faisal Khan,Pavandeep Singh,1,0,,,,,,"",""
ball,1,0.2,Saudi Arabia,Faisal Khan,Abdul Waheed,Pavandeep Singh,0,0,,,,,,"",""
ball,1,0.3,Saudi Arabia,Faisal Khan,Abdul Waheed,Pavandeep Singh,0,0,,,,,,"",""
ball,1,0.4,Saudi Arabia,Faisal Khan,Abdul Waheed,Pavandeep Singh,0,0,,,,,,"",""
ball,1,0.5,Saudi Arabia,Faisal Khan,Abdul Waheed,Pavandeep Singh,0,1,1,,,,,"",""
ball,1,0.6,Saudi Arabia,Faisal Khan,Abdul Waheed,Pavandeep Singh,1,0,,,,,,"",""
ball,1,0.7,Saudi Arabia,Abdul Waheed,Faisal Khan,Pavandeep Singh,1,0,,,,,,"",""
ball,1,1.1,Saudi Arabia,Abdul Waheed,Faisal Khan,Syed Aziz,0,0,,,,,,"",""
ball,1,1.2,Saudi Arabia,Abdul Waheed,Faisal Khan,Syed Aziz,4,0,,,,,,"",""
ball,1,1.3,Saudi Arabia,Abdul Waheed,Faisal Khan,Syed Aziz,0,0,,,,,,"",""
ball,1,1.4,Saudi Arabia,Abdul Waheed,Faisal Khan,Syed Aziz,1,0,,,,,,"",""
ball,1,1.5,Saudi Arabia,Faisal Khan,Abdul Waheed,Syed Aziz,0,0,,,,,,"",""
ball,1,1.6,Saudi Arabia,Faisal Khan,Abdul Waheed,Syed Aziz,0,0,,,,,,"",""
ball,1,2.1,Saudi Arabia,Abdul Waheed,Faisal Khan,Pavandeep Singh,1,0,,,,,,"",""
ball,1,2.2,Saudi Arabia,Faisal Khan,Abdul Waheed,Pavandeep Singh,0,0,,,,,,"",""
ball,1,2.3,Saudi Arabia,Faisal Khan,Abdul Waheed,Pavandeep Singh,6,0,,,,,,"",""
ball,1,2.4,Saudi Arabia,Faisal Khan,Abdul Waheed,Pavandeep Singh,6,0,,,,,,"",""
ball,1,2.5,Saudi Arabia,Faisal Khan,Abdul Waheed,Pavandeep Singh,2,0,,,,,,"",""
ball,1,2.6,Saudi Arabia,Faisal Khan,Abdul Waheed,Pavandeep Singh,0,1,1,,,,,"",""
ball,1,2.7,Saudi Arabia,Faisal Khan,Abdul Waheed,Pavandeep Singh,0,0,,,,,,"",""
ball,1,3.1,Saudi Arabia,Abdul Waheed,Faisal Khan,Rizwan Haider,6,0,,,,,,"",""
ball,1,3.2,Saudi Arabia,Abdul Waheed,Faisal Khan,Rizwan Haider,0,1,1,,,,,"",""
ball,1,3.3,Saudi Arabia,Abdul Waheed,Faisal Khan,Rizwan Haider,0,0,,,,,,"",""
ball,1,3.4,Saudi Arabia,Abdul Waheed,Faisal Khan,Rizwan Haider,4,0,,,,,,"",""
ball,1,3.5,Saudi Arabia,Abdul Waheed,Faisal Khan,Rizwan Haider,1,0,,,,,,"",""
ball,1,3.6,Saudi Arabia,Faisal Khan,Abdul Waheed,Rizwan Haider,4,0,,,,,,"",""
ball,1,3.7,Saudi Arabia,Faisal Khan,Abdul Waheed,Rizwan Haider,4,0,,,,,,"",""
ball,1,4.1,Saudi Arabia,Abdul Waheed,Faisal Khan,Syed Aziz,0,1,1,,,,,"",""
ball,1,4.2,Saudi Arabia,Abdul Waheed,Faisal Khan,Syed Aziz,0,0,,,,,,"",""
ball,1,4.3,Saudi Arabia,Abdul Waheed,Faisal Khan,Syed Aziz,6,0,,,,,,"",""
ball,1,4.4,Saudi Arabia,Abdul Waheed,Faisal Khan,Syed Aziz,2,0,,,,,,"",""
ball,1,4.5,Saudi Arabia,Abdul Waheed,Faisal Khan,Syed Aziz,1,0,,,,,,"",""
ball,1,4.6,Saudi Arabia,Faisal Khan,Abdul Waheed,Syed Aziz,6,0,,,,,,"",""
ball,1,4.7,Saudi Arabia,Faisal Khan,Abdul Waheed,Syed Aziz,0,0,,,,,,"",""
ball,1,5.1,Saudi Arabia,Abdul Waheed,Faisal Khan,Pavandeep Singh,1,0,,,,,,"",""
ball,1,5.2,Saudi Arabia,Faisal Khan,Abdul Waheed,Pavandeep Singh,4,0,,,,,,"",""
ball,1,5.3,Saudi Arabia,Faisal Khan,Abdul Waheed,Pavandeep Singh,4,0,,,,,,"",""
ball,1,5.4,Saudi Arabia,Faisal Khan,Abdul Waheed,Pavandeep Singh,0,0,,,,,,"",""
ball,1,5.5,Saudi Arabia,Faisal Khan,Abdul Waheed,Pavandeep Singh,1,0,,,,,,"",""
ball,1,5.6,Saudi Arabia,Abdul Waheed,Faisal Khan,Pavandeep Singh,0,0,,,,,,"",""
ball,1,6.1,Saudi Arabia,Faisal Khan,Abdul Waheed,Virandeep Singh,1,0,,,,,,"",""
ball,1,6.2,Saudi Arabia,Abdul Waheed,Faisal Khan,Virandeep Singh,1,0,,,,,,"",""
ball,1,6.3,Saudi Arabia,Faisal Khan,Abdul Waheed,Virandeep Singh,4,0,,,,,,"",""
ball,1,6.4,Saudi Arabia,Faisal Khan,Abdul Waheed,Virandeep Singh,4,0,,,,,,"",""
ball,1,6.5,Saudi Arabia,Faisal Khan,Abdul Waheed,Virandeep Singh,1,0,,,,,,"",""
ball,1,6.6,Saudi Arabia,Abdul Waheed,Faisal Khan,Virandeep Singh,0,1,,,1,,,"",""
ball,1,7.1,Saudi Arabia,Abdul Waheed,Faisal Khan,S Vijay Unni,1,0,,,,,,"",""
ball,1,7.2,Saudi Arabia,Faisal Khan,Abdul Waheed,S Vijay Unni,0,0,,,,,,"",""
ball,1,7.3,Saudi Arabia,Faisal Khan,Abdul Waheed,S Vijay Unni,0,0,,,,,,caught,Faisal Khan
ball,1,7.4,Saudi Arabia,Waji Ul Hassan,Abdul Waheed,S Vijay Unni,1,0,,,,,,"",""
ball,1,7.5,Saudi Arabia,Abdul Waheed,Waji Ul Hassan,S Vijay Unni,2,0,,,,,,"",""
ball,1,7.6,Saudi Arabia,Abdul Waheed,Waji Ul Hassan,S Vijay Unni,4,0,,,,,,"",""
ball,1,8.1,Saudi Arabia,Waji Ul Hassan,Abdul Waheed,Ahmed Aqeel,1,0,,,,,,"",""
ball,1,8.2,Saudi Arabia,Abdul Waheed,Waji Ul Hassan,Ahmed Aqeel,0,0,,,,,,"",""
ball,1,8.3,Saudi Arabia,Abdul Waheed,Waji Ul Hassan,Ahmed Aqeel,1,0,,,,,,"",""
ball,1,8.4,Saudi Arabia,Waji Ul Hassan,Abdul Waheed,Ahmed Aqeel,1,0,,,,,,"",""
ball,1,8.5,Saudi Arabia,Abdul Waheed,Waji Ul Hassan,Ahmed Aqeel,1,0,,,,,,"",""
ball,1,8.6,Saudi Arabia,Waji Ul Hassan,Abdul Waheed,Ahmed Aqeel,1,0,,,,,,"",""
ball,1,9.1,Saudi Arabia,Waji Ul Hassan,Abdul Waheed,S Vijay Unni,0,0,,,,,,"",""
ball,1,9.2,Saudi Arabia,Waji Ul Hassan,Abdul Waheed,S Vijay Unni,1,0,,,,,,"",""
ball,1,9.3,Saudi Arabia,Abdul Waheed,Waji Ul Hassan,S Vijay Unni,1,0,,,,,,"",""
ball,1,9.4,Saudi Arabia,Waji Ul Hassan,Abdul Waheed,S Vijay Unni,1,0,,,,,,"",""
ball,1,9.5,Saudi Arabia,Abdul Waheed,Waji Ul Hassan,S Vijay Unni,1,0,,,,,,"",""
ball,1,9.6,Saudi Arabia,Waji Ul Hassan,Abdul Waheed,S Vijay Unni,0,0,,,,,,"",""
ball,1,10.1,Saudi Arabia,Abdul Waheed,Waji Ul Hassan,Ahmed Aqeel,1,0,,,,,,"",""
ball,1,10.2,Saudi Arabia,Waji Ul Hassan,Abdul Waheed,Ahmed Aqeel,4,0,,,,,,"",""
ball,1,10.3,Saudi Arabia,Waji Ul Hassan,Abdul Waheed,Ahmed Aqeel,1,0,,,,,,"",""
ball,1,10.4,Saudi Arabia,Abdul Waheed,Waji Ul Hassan,Ahmed Aqeel,4,0,,,,,,"",""
ball,1,10.5,Saudi Arabia,Abdul Waheed,Waji Ul Hassan,Ahmed Aqeel,1,0,,,,,,"",""
ball,1,10.6,Saudi Arabia,Waji Ul Hassan,Abdul Waheed,Ahmed Aqeel,1,0,,,,,,"",""
ball,1,11.1,Saudi Arabia,Waji Ul Hassan,Abdul Waheed,S Vijay Unni,0,0,,,,,,"",""
ball,1,11.2,Saudi Arabia,Waji Ul Hassan,Abdul Waheed,S Vijay Unni,1,0,,,,,,"",""
ball,1,11.3,Saudi Arabia,Abdul Waheed,Waji Ul Hassan,S Vijay Unni,4,0,,,,,,"",""
ball,1,11.4,Saudi Arabia,Abdul Waheed,Waji Ul Hassan,S Vijay Unni,1,0,,,,,,"",""
ball,1,11.5,Saudi Arabia,Waji Ul Hassan,Abdul Waheed,S Vijay Unni,1,0,,,,,,"",""
ball,1,11.6,Saudi Arabia,Abdul Waheed,Waji Ul Hassan,S Vijay Unni,2,0,,,,,,"",""
ball,1,12.1,Saudi Arabia,Waji Ul Hassan,Abdul Waheed,Virandeep Singh,1,0,,,,,,"",""
ball,1,12.2,Saudi Arabia,Abdul Waheed,Waji Ul Hassan,Virandeep Singh,1,0,,,,,,"",""
ball,1,12.3,Saudi Arabia,Waji Ul Hassan,Abdul Waheed,Virandeep Singh,0,0,,,,,,"",""
ball,1,12.4,Saudi Arabia,Waji Ul Hassan,Abdul Waheed,Virandeep Singh,1,0,,,,,,"",""
ball,1,12.5,Saudi Arabia,Abdul Waheed,Waji Ul Hassan,Virandeep Singh,1,0,,,,,,"",""
ball,1,12.6,Saudi Arabia,Waji Ul Hassan,Abdul Waheed,Virandeep Singh,1,0,,,,,,"",""
ball,1,13.1,Saudi Arabia,Waji Ul Hassan,Abdul Waheed,S Vijay Unni,1,0,,,,,,"",""
ball,1,13.2,Saudi Arabia,Abdul Waheed,Waji Ul Hassan,S Vijay Unni,2,0,,,,,,"",""
ball,1,13.3,Saudi Arabia,Abdul Waheed,Waji Ul Hassan,S Vijay Unni,0,0,,,,,,"",""
ball,1,13.4,Saudi Arabia,Abdul Waheed,Waji Ul Hassan,S Vijay Unni,0,0,,,,,,"",""
ball,1,13.5,Saudi Arabia,Abdul Waheed,Waji Ul Hassan,S Vijay Unni,1,0,,,,,,"",""
ball,1,13.6,Saudi Arabia,Waji Ul Hassan,Abdul Waheed,S Vijay Unni,1,0,,,,,,"",""
ball,1,14.1,Saudi Arabia,Waji Ul Hassan,Abdul Waheed,Pavandeep Singh,0,0,,,,,,"",""
ball,1,14.2,Saudi Arabia,Waji Ul Hassan,Abdul Waheed,Pavandeep Singh,6,0,,,,,,"",""
ball,1,14.3,Saudi Arabia,Waji Ul Hassan,Abdul Waheed,Pavandeep Singh,1,0,,,,,,"",""
ball,1,14.4,Saudi Arabia,Abdul Waheed,Waji Ul Hassan,Pavandeep Singh,1,0,,,,,,"",""
ball,1,14.5,Saudi Arabia,Waji Ul Hassan,Abdul Waheed,Pavandeep Singh,1,0,,,,,,"",""
ball,1,14.6,Saudi Arabia,Abdul Waheed,Waji Ul Hassan,Pavandeep Singh,0,1,1,,,,,"",""
ball,1,14.7,Saudi Arabia,Abdul Waheed,Waji Ul Hassan,Pavandeep Singh,1,0,,,,,,"",""
ball,1,15.1,Saudi Arabia,Abdul Waheed,Waji Ul Hassan,Rizwan Haider,2,0,,,,,,"",""
ball,1,15.2,Saudi Arabia,Abdul Waheed,Waji Ul Hassan,Rizwan Haider,1,0,,,,,,"",""
ball,1,15.3,Saudi Arabia,Waji Ul Hassan,Abdul Waheed,Rizwan Haider,0,0,,,,,,"",""
ball,1,15.4,Saudi Arabia,Waji Ul Hassan,Abdul Waheed,Rizwan Haider,3,0,,,,,,"",""
ball,1,15.5,Saudi Arabia,Abdul Waheed,Waji Ul Hassan,Rizwan Haider,1,0,,,,,,"",""
